element_id;element_type;name;scene_ids;department;character_or_use;quantity;continuity_requirements;source_or_vendor;cost_estimate_try;availability;permission_or_release;research_ids;evidence_ids;status;notes
EL-001;CAST;AYKUT;;CAST;Başrol;;;;;;;;;REVIEW;source=screenplay | ARCHIVED: örnek senaryo artığı — gerçek senaryoda bu karakter bulunmuyor | source_orphaned=screenplay
EL-002;PROP;Telefon;;ART;;;;;;;;;;REVIEW;source=screenplay | ARCHIVED: örnek senaryo artığı — gerçek senaryoda bu prop bulunmuyor | source_orphaned=screenplay
EL-003;PROP;Kahve fincanı;;ART;;;;;;;;;;REVIEW;source=screenplay | ARCHIVED: örnek senaryo artığı — gerçek senaryoda bu prop bulunmuyor | source_orphaned=screenplay
EL-004;SPECIAL_EQUIPMENT;Yağmur makinesi;;CAMERA_GRIP;;;;;;;;;;REVIEW;source=screenplay | ARCHIVED: örnek senaryo artığı — gerçek senaryoda bu ekipman bulunmuyor | source_orphaned=screenplay
EL-005;CAST;CEM;;CAST;Şüpheli / Saldırgan;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-006;CAST;YILDIZ;;CAST;Mağdur;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-007;PROP;Viski bardağı;;ART;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-008;PROP;Çerçeveli fotoğraf;;ART;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-009;PROP;Kravatlar;;ART;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-010;PROP;Küçük makas;;ART;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-011;WARDROBE_MAKEUP;İç çamaşırı, gece kıyafeti;;WARDROBE_MAKEUP;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-012;SET_DRESSING;Yatak odası, gardırop, banyo çekmeceleri;;ART;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-013;CAST;ÖZGÜ;;CAST;Başrol;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-014;CAST;EMİN;;CAST;Wing Chun Ustası;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-015;CAST;KAPÜŞONLU PASPASÇI;;CAST;Gölge Karakter / Arka Plan;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-016;PROP;Tığ saç tokası;;ART;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-017;PROP;Paspas ve kova;;ART;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-018;WARDROBE_MAKEUP;Dövüş şortu ve atlet, yıpranmış kot tulum ve şapka/kapüşonlu ceket;;WARDROBE_MAKEUP;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-019;PROP;Akıllı telefon;;ART;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-020;PROP;Adalet terazisi dikiz aynası süsü;;ART;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-021;PROP;Kapağı kapalı adalet terazisi;;ART;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-022;PROP;Benzin azaldı ikazı ekranı;;ART;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-023;PROP;Benzinlik 3 km tabelası;;ART;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-024;CAST;HANDE;;CAST;İstasyon Çalışanı Çocuk;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-025;CAST;DEDE;;CAST;Market Sahibi / Muhammed Cangören;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-026;PROP;Voleybol topu;;ART;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
EL-027;PROP;Su şişesi;;ART;;;;;;;;;;REVIEW;source=screenplay | source_orphaned=screenplay
