budget_item_id;category;sub_category;description;quantity;unit;unit_cost_try;subtotal_try;contingency_pct;contingency_try;total_try;approval_status;paid_status;scene_ids;location_id;supply_method;usage_purpose;producer_note;notes
B-001;📍 Mekân Kiralama Bütçesi;Mekân;Yıldız ve Cem Evi / Yatak Odası (LOC-001) Kiralama & İzin;1;day;5000;5000;0;0;5000;NEEDS_APPROVAL;UNPAID;;;Özgün İmalat;Yıldız ve Cem Evi / Yatak Odası (LOC-001) Kiralama & İzin için kullanım.;;dependency_changed=manual
B-002;📍 Mekân Kiralama Bütçesi;Mekân;Emin'in Spor Salonu (LOC-002) Kiralama & İzin;1;day;5000;5000;0;0;5000;NEEDS_APPROVAL;UNPAID;;;Satın Alma;Emin'in Spor Salonu (LOC-002) Kiralama & İzin için kullanım.;;dependency_changed=manual
B-003;📍 Mekân Kiralama Bütçesi;Mekân;Özgü'nün Arabası / Sahil Yolu (LOC-003) Kiralama & İzin;1;day;13207.7;13207.7;0;0;13207.7;NEEDS_APPROVAL;UNPAID;;;Satın Alma;Özgü'nün Arabası / Sahil Yolu (LOC-003) Kiralama & İzin için kullanım.;;dependency_changed=manual
B-004;📍 Mekân Kiralama Bütçesi;Mekân;Benzin İstasyonu ve Yol (LOC-004) Kiralama & İzin;1;day;5000;5000;0;0;5000;NEEDS_APPROVAL;UNPAID;;;Satın Alma;Benzin İstasyonu ve Yol (LOC-004) Kiralama & İzin için kullanım.;;dependency_changed=manual
B-005;📍 Mekân Kiralama Bütçesi;Mekân;Benzin İstasyonu Tuvaleti (LOC-005) Kiralama & İzin;1;day;5000;5000;0;0;5000;NEEDS_APPROVAL;UNPAID;;;Satın Alma;Benzin İstasyonu Tuvaleti (LOC-005) Kiralama & İzin için kullanım.;;dependency_changed=manual
B-006;🎒 Aksesuar & Dekor Bütçesi;Aksesuar (Prop);Viski bardağı (Sanat & Aksesuar);1;adet;1200;1200;0;0;1200;NEEDS_APPROVAL;UNPAID;;;Satın Alma;Viski bardağı (Sanat & Aksesuar) için kullanım.;;dependency_changed=manual
B-007;🎒 Aksesuar & Dekor Bütçesi;Aksesuar (Prop);Çerçeveli fotoğraf (Sanat & Aksesuar);1;adet;1200;1200;0;0;1200;NEEDS_APPROVAL;UNPAID;;;Satın Alma;Çerçeveli fotoğraf (Sanat & Aksesuar) için kullanım.;;dependency_changed=manual
B-008;🎒 Aksesuar & Dekor Bütçesi;Aksesuar (Prop);Kravatlar (Sanat & Aksesuar);1;adet;1200;1200;0;0;1200;NEEDS_APPROVAL;UNPAID;;;Satın Alma;Kravatlar (Sanat & Aksesuar) için kullanım.;;dependency_changed=manual
B-009;🎒 Aksesuar & Dekor Bütçesi;Aksesuar (Prop);Küçük makas (Sanat & Aksesuar);1;adet;1200;1200;0;0;1200;NEEDS_APPROVAL;UNPAID;;;Satın Alma;Küçük makas (Sanat & Aksesuar) için kullanım.;;dependency_changed=manual
B-010;🎒 Aksesuar & Dekor Bütçesi;Aksesuar (Prop);Tığ saç tokası (Sanat & Aksesuar);1;adet;1200;1200;0;0;1200;NEEDS_APPROVAL;UNPAID;;;Satın Alma;Tığ saç tokası (Sanat & Aksesuar) için kullanım.;;dependency_changed=manual
B-011;🎒 Aksesuar & Dekor Bütçesi;Aksesuar (Prop);Paspas ve kova (Sanat & Aksesuar);1;adet;1200;1200;0;0;1200;NEEDS_APPROVAL;UNPAID;;;Satın Alma;Paspas ve kova (Sanat & Aksesuar) için kullanım.;;dependency_changed=manual
B-012;🎒 Aksesuar & Dekor Bütçesi;Aksesuar (Prop);makas (Sanat & Aksesuar);1;adet;1200;1200;0;0;1200;NEEDS_APPROVAL;UNPAID;;;Satın Alma;makas (Sanat & Aksesuar) için kullanım.;;dependency_changed=manual
B-013;🎒 Aksesuar & Dekor Bütçesi;Aksesuar (Prop);Akıllı telefon (Sanat & Aksesuar);1;adet;1200;1200;0;0;1200;NEEDS_APPROVAL;UNPAID;;;Satın Alma;Akıllı telefon (Sanat & Aksesuar) için kullanım.;;dependency_changed=manual
B-014;🎒 Aksesuar & Dekor Bütçesi;Aksesuar (Prop);Adalet terazisi dikiz aynası süsü (Sanat & Aksesuar);1;adet;1200;1200;0;0;1200;NEEDS_APPROVAL;UNPAID;;;Satın Alma;Adalet terazisi dikiz aynası süsü (Sanat & Aksesuar) için kullanım.;;dependency_changed=manual
B-015;🎒 Aksesuar & Dekor Bütçesi;Aksesuar (Prop);Kapağı kapalı adalet terazisi (Sanat & Aksesuar);1;adet;1200;1200;0;0;1200;NEEDS_APPROVAL;UNPAID;;;Satın Alma;Kapağı kapalı adalet terazisi (Sanat & Aksesuar) için kullanım.;;dependency_changed=manual
B-016;🎒 Aksesuar & Dekor Bütçesi;Aksesuar (Prop);Benzin azaldı ikazı ekranı (Sanat & Aksesuar);1;adet;1200;1200;0;0;1200;NEEDS_APPROVAL;UNPAID;;;Satın Alma;Benzin azaldı ikazı ekranı (Sanat & Aksesuar) için kullanım.;;dependency_changed=manual
B-017;🎒 Aksesuar & Dekor Bütçesi;Aksesuar (Prop);Benzinlik 3 km tabelası (Sanat & Aksesuar);1;adet;1200;1200;0;0;1200;NEEDS_APPROVAL;UNPAID;;;Satın Alma;Benzinlik 3 km tabelası (Sanat & Aksesuar) için kullanım.;;dependency_changed=manual
B-018;🎒 Aksesuar & Dekor Bütçesi;Aksesuar (Prop);Voleybol topu (Sanat & Aksesuar);1;adet;1200;1200;0;0;1200;NEEDS_APPROVAL;UNPAID;;;Satın Alma;Voleybol topu (Sanat & Aksesuar) için kullanım.;;dependency_changed=manual
B-019;🎒 Aksesuar & Dekor Bütçesi;Aksesuar (Prop);Su şişesi (Sanat & Aksesuar);1;adet;1200;1200;0;0;1200;NEEDS_APPROVAL;UNPAID;;;Satın Alma;Su şişesi (Sanat & Aksesuar) için kullanım.;;dependency_changed=manual
B-020;🎒 Aksesuar & Dekor Bütçesi;Aksesuar (Prop);Nakit para (Sanat & Aksesuar);1;adet;1200;1200;0;0;1200;NEEDS_APPROVAL;UNPAID;;;Satın Alma;Nakit para (Sanat & Aksesuar) için kullanım.;;dependency_changed=manual
B-021;🎒 Aksesuar & Dekor Bütçesi;Aksesuar (Prop);Motosiklet (Sanat & Aksesuar);1;adet;1200;1200;0;0;1200;NEEDS_APPROVAL;UNPAID;;;Satın Alma;Motosiklet (Sanat & Aksesuar) için kullanım.;;dependency_changed=manual
B-022;🎒 Aksesuar & Dekor Bütçesi;Aksesuar (Prop);Küçük hap kutusu / ilaç (Sanat & Aksesuar);1;adet;1200;1200;0;0;1200;NEEDS_APPROVAL;UNPAID;;;Satın Alma;Küçük hap kutusu / ilaç (Sanat & Aksesuar) için kullanım.;;dependency_changed=manual
B-023;🎒 Aksesuar & Dekor Bütçesi;Aksesuar (Prop);Kadın çantası (Sanat & Aksesuar);1;adet;1200;1200;0;0;1200;NEEDS_APPROVAL;UNPAID;;;Satın Alma;Kadın çantası (Sanat & Aksesuar) için kullanım.;;dependency_changed=manual
